Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,All_NBA_Label,All_NBA_Target,Season_End_Year
35.0,Saddiq Bey,22.0,DET,SF,82.0,82.0,2704.0,450.0,1136.0,0.396,211.0,610.0,0.346,239.0,526.0,0.454,0.489,210.0,254.0,0.827,107.0,334.0,441.0,233.0,73.0,16.0,96.0,128.0,1321.0,0.0,,beysa01,14.0,0.529,0.537,0.224,4.1,14.1,8.8,13.8,1.3,0.5,7.1,21.3,2.4,1.6,4.0,0.071,0.9,-1.2,-0.3,1.2,None,0,2022
336.0,Khem Birch,29.0,TOR,C,55.0,28.0,991.0,97.0,200.0,0.485,0.0,14.0,0.0,97.0,186.0,0.522,0.485,53.0,71.0,0.746,122.0,117.0,239.0,56.0,30.0,26.0,29.0,104.0,247.0,0.0,,birchkh01,13.2,0.534,0.07,0.355,12.7,13.5,13.1,7.6,1.5,2.6,11.1,11.2,1.5,1.1,2.6,0.126,-1.7,0.4,-1.3,0.2,None,0,2022
281.0,Goga Bitadze,22.0,IND,C,50.0,16.0,729.0,131.0,252.0,0.52,23.0,80.0,0.288,108.0,172.0,0.628,0.565,64.0,94.0,0.681,79.0,98.0,177.0,55.0,21.0,42.0,46.0,107.0,349.0,0.0,,bitadgo01,18.0,0.595,0.317,0.373,11.9,15.3,13.5,11.2,1.4,5.0,13.6,19.9,1.3,0.6,1.9,0.122,-0.2,-0.6,-0.8,0.2,None,0,2022
350.0,Bismack Biyombo,29.0,PHO,C,36.0,3.0,506.0,86.0,145.0,0.593,0.0,0.0,,86.0,145.0,0.593,0.593,38.0,71.0,0.535,63.0,104.0,167.0,23.0,12.0,26.0,25.0,70.0,210.0,0.0,,biyombi01,17.3,0.596,0.0,0.49,13.7,21.5,17.7,6.2,1.1,4.6,12.4,17.1,0.9,0.9,1.8,0.17,-1.7,0.4,-1.3,0.1,None,0,2022
250.0,Nemanja Bjelica,33.0,GSW,C,71.0,0.0,1142.0,160.0,342.0,0.468,54.0,149.0,0.362,106.0,193.0,0.549,0.547,59.0,81.0,0.728,62.0,232.0,294.0,159.0,41.0,26.0,87.0,128.0,433.0,0.0,,bjeline01,14.2,0.573,0.436,0.237,6.1,21.5,14.1,19.8,1.8,2.2,18.7,17.8,1.0,2.1,3.0,0.128,-0.9,2.3,1.4,1.0,None,0,2022
211.0,Eric Bledsoe,32.0,LAC,PG,54.0,29.0,1361.0,197.0,468.0,0.421,51.0,163.0,0.313,146.0,305.0,0.479,0.475,89.0,117.0,0.761,28.0,154.0,182.0,225.0,69.0,19.0,116.0,85.0,534.0,0.0,,bledser01,12.5,0.514,0.348,0.25,2.2,11.6,7.1,24.1,2.5,1.2,18.3,20.5,-0.5,1.8,1.3,0.047,-2.1,1.3,-0.8,0.4,None,0,2022
427.0,Keljin Blevins,26.0,POR,SF,31.0,1.0,349.0,34.0,111.0,0.306,21.0,72.0,0.292,13.0,39.0,0.333,0.401,6.0,11.0,0.545,16.0,29.0,45.0,19.0,13.0,1.0,17.0,29.0,95.0,0.0,,blevike01,4.8,0.41,0.649,0.099,4.9,9.5,7.1,7.7,1.8,0.3,12.8,16.5,-0.6,0.1,-0.5,-0.066,-5.6,-2.9,-8.5,-0.6,None,0,2022
85.0,Bogdan Bogdanović,29.0,ATL,SG,63.0,27.0,1848.0,342.0,794.0,0.431,169.0,459.0,0.368,173.0,335.0,0.516,0.537,97.0,115.0,0.843,29.0,221.0,250.0,194.0,68.0,14.0,70.0,132.0,950.0,0.0,6MOY-6,bogdabo01,15.4,0.562,0.578,0.145,1.7,13.0,7.4,15.5,1.8,0.7,7.7,21.6,2.5,1.2,3.7,0.095,1.5,-0.2,1.3,1.5,None,0,2022
50.0,Bojan Bogdanović,32.0,UTA,PF,69.0,69.0,2131.0,422.0,928.0,0.455,181.0,468.0,0.387,241.0,460.0,0.524,0.552,223.0,260.0,0.858,58.0,238.0,296.0,120.0,34.0,1.0,118.0,116.0,1248.0,0.0,,bogdabo02,15.7,0.599,0.504,0.28,3.1,11.8,7.6,8.7,0.8,0.0,10.2,23.7,3.6,1.6,5.2,0.118,1.6,-1.6,0.0,1.1,None,0,2022
487.0,Bol Bol,22.0,DEN,PF,14.0,0.0,81.0,15.0,27.0,0.556,1.0,4.0,0.25,14.0,23.0,0.609,0.574,2.0,5.0,0.4,4.0,16.0,20.0,5.0,1.0,2.0,4.0,4.0,33.0,0.0,,bolbo01,13.5,0.565,0.148,0.185,5.7,21.4,13.8,9.1,0.6,2.2,12.0,18.0,0.0,0.1,0.1,0.065,-0.5,-0.4,-1.0,0.0,None,0,2022
