Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Kevin Durant,23,OKC,SF,66,66,2546,643,1297,.496,133,344,.387,510,953,.535,.547,431,501,.860,40,487,527,231,88,77,248,133,1850,0,MVP-2ASNBA1,duranke01
2,LeBron James,27,MIA,SF,62,62,2326,621,1169,.531,54,149,.362,567,1020,.556,.554,387,502,.771,94,398,492,387,115,50,213,96,1683,0,MVP-1DPOY-4ASNBA1DEF1,jamesle01
3,Kobe Bryant,33,LAL,SG,58,58,2232,574,1336,.430,87,287,.303,487,1049,.464,.462,381,451,.845,66,247,313,264,69,18,204,105,1616,0,MVP-4ASNBA1DEF2,bryanko01
4,Russell Westbrook,23,OKC,PG,66,66,2331,578,1266,.457,62,196,.316,516,1070,.482,.481,340,413,.823,96,205,301,362,112,21,239,147,1558,0,MVP-12DPOY-18ASNBA2,westbru01
5,Kevin Love,23,MIN,PF,55,55,2145,474,1059,.448,105,282,.372,369,777,.475,.497,379,460,.824,226,508,734,111,47,28,128,152,1432,0,MVP-6ASNBA2,loveke01
6,Blake Griffin,22,LAC,PF,66,66,2392,561,1022,.549,2,16,.125,559,1006,.556,.550,244,468,.521,218,499,717,210,54,48,150,216,1368,0,ASNBA2,griffbl01
7,Dirk Nowitzki,33,DAL,PF,62,62,2079,473,1034,.457,78,212,.368,395,822,.481,.495,318,355,.896,46,372,418,136,42,30,117,129,1342,0,MVP-12ASNBA3,nowitdi01
8,Brandon Jennings,22,MIL,PG,66,66,2331,469,1121,.418,129,388,.332,340,733,.464,.476,193,239,.808,49,177,226,365,104,22,146,114,1260,0,,jennibr01
9,Carmelo Anthony,27,NYK,SF,55,55,1876,441,1025,.430,68,203,.335,373,822,.454,.463,295,367,.804,88,256,344,200,62,24,144,156,1245,1,ASNBA3,anthoca01
10,Josh Smith,26,ATL,PF,66,66,2329,504,1101,.458,28,109,.257,476,992,.480,.470,203,322,.630,136,496,632,257,93,115,164,172,1239,0,DPOY-10,smithjo03
11,Rudy Gay,25,MEM,SF,65,65,2422,485,1067,.455,54,173,.312,431,894,.482,.480,208,263,.791,130,287,417,147,95,55,161,138,1232,0,,gayru01
12,LaMarcus Aldridge,26,POR,PF,55,55,1994,483,943,.512,2,11,.182,481,932,.516,.513,223,274,.814,150,292,442,134,51,45,111,153,1191,0,AS,aldrila01
13,Chris Paul,26,LAC,PG,60,60,2181,425,890,.478,79,213,.371,346,677,.511,.522,260,302,.861,42,171,213,543,152,4,124,138,1189,0,MVP-3DPOY-12ASNBA1DEF1,paulch01
14,Paul Pierce,34,BOS,SF,61,61,2075,394,890,.443,100,273,.366,294,617,.476,.499,293,344,.852,37,280,317,274,70,26,173,147,1181,0,AS,piercpa01
15,Monta Ellis,26,2TM,SG,58,58,2120,450,1040,.433,62,201,.308,388,839,.462,.463,219,275,.796,20,180,200,346,85,18,177,136,1181,0,,ellismo01
15,Monta Ellis,26,GSW,SG,37,37,1365,305,704,.433,50,156,.321,255,548,.465,.469,151,186,.812,16,111,127,223,56,12,123,84,811,0,,ellismo01
15,Monta Ellis,26,MIL,SG,21,21,755,145,336,.432,12,45,.267,133,291,.457,.449,68,89,.764,4,69,73,123,29,6,54,52,370,0,,ellismo01
16,Al Jefferson,27,UTA,C,61,61,2075,516,1048,.492,1,4,.250,515,1044,.493,.493,137,177,.774,133,452,585,134,47,101,62,155,1170,0,,jeffeal01
17,DeMarcus Cousins,21,SAC,C,64,62,1950,448,999,.448,2,14,.143,446,985,.453,.449,262,373,.702,265,438,703,102,93,75,170,257,1160,0,,couside01
18,Danny Granger,28,IND,SF,62,62,2062,391,941,.416,123,323,.381,268,618,.434,.481,254,291,.873,79,228,307,109,62,40,110,144,1159,0,,grangda01
19,Deron Williams,27,NJN,PG,55,55,1999,391,961,.407,115,342,.336,276,619,.446,.467,257,305,.843,23,160,183,481,67,20,219,121,1154,0,AS,willide01
20,David Lee,28,GSW,PF,57,57,2121,464,922,.503,0,5,.000,464,917,.506,.503,219,280,.782,171,374,545,162,54,22,149,179,1147,1,,leeda02
21,Pau Gasol,31,LAL,PF,65,65,2430,459,917,.501,7,27,.259,452,890,.508,.504,204,261,.782,183,495,678,237,37,88,142,127,1129,1,,gasolpa01
22,Joe Johnson,30,ATL,SG,60,60,2127,423,931,.454,125,322,.388,298,609,.489,.521,158,186,.849,53,168,221,232,48,13,116,75,1129,0,MVP-15AS,johnsjo02
23,Andrew Bynum,24,LAL,C,60,60,2112,444,796,.558,1,5,.200,443,791,.560,.558,234,338,.692,192,517,709,85,27,116,152,104,1123,0,ASNBA2,bynuman01
24,Antawn Jamison,35,CLE,PF,65,65,2151,421,1044,.403,91,267,.341,330,777,.425,.447,185,271,.683,123,285,408,131,51,43,90,164,1118,0,,jamisan01
25,Dwight Howard,26,ORL,C,54,54,2070,416,726,.573,0,7,.000,416,719,.579,.573,281,572,.491,200,585,785,104,81,116,175,159,1113,0,MVP-7DPOY-3ASNBA1DEF1,howardw01
26,Tony Parker,29,SAS,PG,60,60,1923,427,890,.480,14,61,.230,413,829,.498,.488,227,284,.799,22,149,171,463,57,5,153,75,1095,0,MVP-5ASNBA2,parketo01
27,Dwyane Wade,30,MIA,SG,49,49,1625,416,837,.497,15,56,.268,401,781,.513,.506,235,297,.791,73,164,237,225,82,63,129,110,1082,0,MVP-10DPOY-18ASNBA3,wadedw01
28,John Wall,21,WAS,PG,66,66,2386,378,894,.423,3,42,.071,375,852,.440,.424,317,402,.789,48,252,300,530,95,57,255,137,1076,0,,walljo01
29,Paul Millsap,26,UTA,PF,64,62,2100,426,861,.495,7,31,.226,419,830,.505,.499,202,255,.792,180,383,563,150,118,52,112,222,1061,0,,millspa01
30,DeMar DeRozan,22,TOR,SG,63,63,2206,381,903,.422,24,92,.261,357,811,.440,.435,268,331,.810,40,171,211,128,48,17,123,162,1054,0,,derozde01
31,James Harden,22,OKC,SG,62,2,1946,309,629,.491,114,292,.390,195,337,.579,.582,312,369,.846,30,222,252,229,62,15,137,150,1044,0,6MOY-1,hardeja01
32,Tyreke Evans,22,SAC,SG,63,61,2162,408,900,.453,20,99,.202,388,801,.484,.464,201,258,.779,64,225,289,283,84,29,171,136,1037,0,,evansty01
33,Chris Bosh,27,MIA,PF,57,57,2007,393,807,.487,10,35,.286,383,772,.496,.493,229,279,.821,94,358,452,103,51,45,117,128,1025,0,AS,boshch01
34,Luis Scola,31,HOU,PF,66,66,2067,436,888,.491,0,3,.000,436,885,.493,.491,153,198,.773,122,306,428,140,35,24,153,214,1025,0,,scolalu01
35,Marcin Gortat,27,PHO,C,66,66,2114,427,769,.555,0,2,.000,427,767,.557,.555,163,251,.649,185,474,659,59,48,99,90,142,1017,0,,gortama01
36,Greg Monroe,21,DET,C,66,66,2082,407,781,.521,0,1,.000,407,780,.522,.521,201,272,.739,239,398,637,152,83,46,161,180,1015,0,DPOY-18,monrogr01
37,Ty Lawson,24,DEN,PG,61,61,2124,374,767,.488,73,200,.365,301,567,.531,.535,178,216,.824,54,173,227,401,82,6,149,94,999,0,,lawsoty01
38,Carlos Boozer,30,CHI,PF,66,66,1948,448,842,.532,0,1,.000,448,841,.533,.532,95,137,.693,114,450,564,125,63,24,115,168,991,0,,boozeca01
39,Ryan Anderson,23,ORL,PF,61,61,1964,332,757,.439,166,422,.393,166,335,.496,.548,150,171,.877,224,247,471,54,50,26,57,146,980,0,MIP-1,anderry01
40,Lou Williams,25,PHI,PG,64,0,1682,318,782,.407,83,229,.362,235,553,.425,.460,237,292,.812,30,125,155,221,53,18,71,90,956,0,6MOY-2,willilo02
41,Marc Gasol,27,MEM,C,65,65,2370,357,740,.482,1,12,.083,356,728,.489,.483,237,317,.748,120,459,579,204,62,121,121,201,952,0,DPOY-12AS,gasolma01
42,Marcus Thornton,24,SAC,SG,51,51,1780,352,803,.438,107,310,.345,245,493,.497,.505,141,163,.865,84,104,188,98,71,12,84,111,952,0,,thornma01
43,Jason Terry,34,DAL,SG,63,1,2000,357,830,.430,138,365,.378,219,465,.471,.513,98,111,.883,16,133,149,226,73,11,127,69,950,0,6MOY-3,terryja01
44,Kevin Garnett,35,BOS,C,60,60,1864,391,777,.503,3,9,.333,388,768,.505,.505,162,189,.857,66,428,494,175,56,61,107,141,947,0,DPOY-5DEF2,garneke01
45,Kyrie Irving,19,CLE,PG,51,51,1558,350,747,.469,73,183,.399,277,564,.491,.517,171,196,.872,44,147,191,275,54,20,160,110,944,0,ROY-1,irvinky01
46,Arron Afflalo,26,DEN,SG,62,62,2086,329,699,.471,88,221,.398,241,478,.504,.534,197,247,.798,40,157,197,149,36,13,85,134,943,0,,afflaar01
47,Jordan Crawford,23,WAS,SG,64,32,1753,349,872,.400,79,273,.289,270,599,.451,.446,161,203,.793,44,124,168,190,59,5,141,111,938,0,,crawfjo02
48,Al Harrington,31,DEN,PF,64,1,1761,345,773,.446,101,303,.333,244,470,.519,.512,119,176,.676,72,318,390,88,58,12,112,181,910,0,6MOY-4,harrial01
49,Wesley Matthews,25,POR,SG,66,53,2228,314,763,.412,129,337,.383,185,426,.434,.496,147,171,.860,56,168,224,113,96,15,73,148,904,0,,matthwe02
50,Tim Duncan,35,SAS,C,58,58,1634,361,733,.492,0,4,.000,361,729,.495,.492,173,249,.695,110,410,520,132,38,88,97,98,895,0,MVP-14,duncati01
51,Jrue Holiday,21,PHI,PG,65,65,2196,360,834,.432,65,171,.380,295,663,.445,.471,94,120,.783,57,155,212,290,103,18,135,137,879,0,,holidjr01
