Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Russell Westbrook,28,OKC,PG,81,81,2802,824,1941,.425,200,583,.343,624,1358,.459,.476,710,840,.845,137,727,864,840,132,31,438,190,2558,42,MVP-1ASNBA1,westbru01
2,James Harden,27,HOU,PG,81,81,2947,674,1533,.440,262,756,.347,412,777,.530,.525,746,881,.847,95,564,659,907,121,38,464,215,2356,22,MVP-2ASNBA1,hardeja01
3,Isaiah Thomas,27,BOS,PG,76,76,2569,682,1473,.463,245,646,.379,437,827,.528,.546,590,649,.909,43,162,205,448,70,13,210,167,2199,0,MVP-5ASNBA2,thomais02
4,Anthony Davis,23,NOP,C,75,75,2708,770,1526,.505,40,134,.299,730,1392,.524,.518,519,647,.802,172,712,884,157,94,167,181,168,2099,0,MVP-9ASNBA1DEF2,davisan02
5,Karl-Anthony Towns,21,MIN,C,82,82,3030,802,1480,.542,101,275,.367,701,1205,.582,.576,356,428,.832,296,711,1007,220,56,103,212,241,2061,1,,townska01
6,Damian Lillard,26,POR,PG,75,75,2694,661,1488,.444,214,579,.370,447,909,.492,.516,488,545,.895,46,322,368,440,68,20,197,152,2024,0,,lillada01
7,DeMar DeRozan,27,TOR,SG,74,74,2620,721,1545,.467,33,124,.266,688,1421,.484,.477,545,647,.842,70,316,386,290,78,13,180,134,2020,0,MVP-11ASNBA3,derozde01
8,Stephen Curry,28,GSW,PG,79,79,2638,675,1443,.468,324,789,.411,351,654,.537,.580,325,362,.898,61,292,353,524,142,17,239,183,1999,0,MVP-6ASNBA2,curryst01
9,LeBron James,32,CLE,SF,74,74,2794,736,1344,.548,124,342,.363,612,1002,.611,.594,358,531,.674,97,542,639,646,92,44,303,134,1954,13,MVP-4DPOY-5ASNBA1,jamesle01
10,DeMarcus Cousins,26,2TM,C,72,72,2465,647,1432,.452,131,363,.361,516,1069,.483,.498,517,670,.772,152,642,794,332,100,93,269,278,1942,2,AS,couside01
10,DeMarcus Cousins,26,SAC,C,55,55,1891,505,1118,.452,95,267,.356,410,851,.482,.494,423,549,.770,115,468,583,266,75,74,207,203,1528,2,,couside01
10,DeMarcus Cousins,26,NOP,C,17,17,574,142,314,.452,36,96,.375,106,218,.486,.510,94,121,.777,37,174,211,66,25,19,62,75,414,0,,couside01
11,Andrew Wiggins,21,MIN,SF,82,82,3048,709,1570,.452,103,289,.356,606,1281,.473,.484,412,542,.760,102,226,328,189,82,30,187,183,1933,0,,wiggian01
12,Kawhi Leonard,25,SAS,SF,74,74,2474,636,1312,.485,147,387,.380,489,925,.529,.541,469,533,.880,80,350,430,260,133,55,154,122,1888,0,MVP-3DPOY-3ASNBA1DEF1,leonaka01
13,CJ McCollum,25,POR,SG,80,80,2796,692,1441,.480,185,439,.421,507,1002,.506,.544,268,294,.912,60,229,289,285,72,42,172,202,1837,0,,mccolcj01
14,Giannis Antetokounmpo,22,MIL,SF,80,80,2845,656,1259,.521,49,180,.272,607,1079,.563,.541,471,612,.770,142,558,700,434,131,151,234,246,1832,3,MVP-7MIP-1ASNBA2DEF2,antetgi01
15,Kemba Walker,26,CHO,PG,79,79,2739,643,1449,.444,240,602,.399,403,847,.476,.527,304,359,.847,45,263,308,434,85,22,168,119,1830,0,AS,walkeke02
16,Jimmy Butler,27,CHI,SF,76,75,2809,570,1252,.455,91,248,.367,479,1004,.477,.492,585,676,.865,129,341,470,417,143,32,159,112,1816,2,ASNBA3,butleji01
17,Kyrie Irving,24,CLE,PG,72,72,2525,671,1420,.473,177,441,.401,494,979,.505,.535,297,328,.905,52,178,230,418,83,24,180,157,1816,0,AS,irvinky01
18,John Wall,26,WAS,PG,78,78,2836,647,1435,.451,89,272,.327,558,1163,.480,.482,422,527,.801,59,267,326,831,157,49,322,151,1805,0,MVP-7ASNBA3,walljo01
19,Bradley Beal,23,WAS,SG,77,77,2684,637,1322,.482,223,552,.404,414,770,.538,.566,282,342,.825,53,187,240,267,83,21,156,169,1779,0,,bealbr01
20,Paul George,26,IND,SF,75,75,2689,622,1348,.461,195,496,.393,427,852,.501,.534,336,374,.898,58,434,492,251,119,27,220,206,1775,0,AS,georgpa01
21,Klay Thompson,26,GSW,SG,78,78,2649,644,1376,.468,268,647,.414,376,729,.516,.565,186,218,.853,49,236,285,160,66,40,128,139,1742,0,AS,thompkl01
22,Devin Booker,20,PHO,SG,78,78,2730,606,1431,.423,147,405,.363,459,1026,.447,.475,367,441,.832,46,203,249,268,72,21,241,242,1726,0,,bookede01
23,Carmelo Anthony,32,NYK,SF,74,74,2538,602,1389,.433,151,421,.359,451,968,.466,.488,304,365,.833,62,376,438,213,60,34,153,198,1659,0,AS,anthoca01
24,Gordon Hayward,26,UTA,SF,73,73,2516,545,1156,.471,149,374,.398,396,782,.506,.536,362,429,.844,49,345,394,252,73,20,140,117,1601,0,AS,haywago01
25,Kevin Durant,28,GSW,PF,62,62,2070,551,1026,.537,117,312,.375,434,714,.608,.594,336,384,.875,39,474,513,300,66,99,138,117,1555,1,MVP-9ASNBA2,duranke01
26,Brook Lopez,28,BRK,C,75,75,2222,555,1172,.474,134,387,.346,421,785,.536,.531,295,364,.810,121,282,403,176,38,124,184,192,1539,0,,lopezbr01
27,Harrison Barnes,24,DAL,PF,79,79,2803,599,1280,.468,78,222,.351,521,1058,.492,.498,242,281,.861,93,301,394,116,65,15,102,128,1518,0,,barneha02
28,Goran Dragić,30,MIA,PG,73,73,2459,534,1124,.475,117,289,.405,417,835,.499,.527,298,377,.790,62,217,279,423,89,13,212,199,1483,0,,dragigo01
29,Marc Gasol,32,MEM,C,74,74,2531,532,1160,.459,104,268,.388,428,892,.480,.503,278,332,.837,60,404,464,338,67,99,166,171,1446,2,AS,gasolma01
30,Lou Williams,30,2TM,SG,81,1,1994,428,998,.429,163,446,.365,265,552,.480,.511,402,457,.880,26,176,202,239,80,20,160,92,1421,0,6MOY-3,willilo02
30,Lou Williams,30,LAL,SG,58,1,1403,326,734,.444,122,317,.385,204,417,.489,.527,304,344,.884,14,118,132,183,65,11,120,67,1078,0,,willilo02
30,Lou Williams,30,HOU,SG,23,0,591,102,264,.386,41,129,.318,61,135,.452,.464,98,113,.867,12,58,70,56,15,9,40,25,343,0,,willilo02
31,Mike Conley,29,MEM,PG,69,68,2292,464,1009,.460,171,419,.408,293,590,.497,.545,316,368,.859,31,210,241,433,92,19,156,126,1415,0,,conlemi01
32,Dennis Schröder,23,ATL,PG,79,78,2485,548,1214,.451,100,294,.340,448,920,.487,.493,218,255,.855,42,206,248,499,74,16,258,149,1414,0,,schrode01
33,Eric Bledsoe,27,PHO,PG,66,66,2176,449,1034,.434,104,310,.335,345,724,.477,.485,388,458,.847,52,268,320,418,91,31,224,164,1390,1,,bledser01
34,Kyle Lowry,30,TOR,PG,60,60,2244,426,918,.464,193,468,.412,233,450,.518,.569,299,365,.819,48,238,286,417,88,19,173,170,1344,1,AS,lowryky01
35,Tobias Harris,24,DET,PF,82,48,2567,511,1063,.481,109,314,.347,402,749,.537,.532,190,226,.841,63,353,416,142,60,39,96,133,1321,0,,harrito02
36,Blake Griffin,27,LAC,PF,61,61,2076,479,971,.493,38,113,.336,441,858,.514,.513,320,421,.760,112,385,497,300,57,22,142,157,1316,1,,griffbl01
37,Hassan Whiteside,27,MIA,C,77,77,2513,542,973,.557,0,0,,542,973,.557,.557,225,358,.628,293,795,1088,57,57,161,154,226,1309,0,DPOY-5,whiteha01
38,Jeff Teague,28,IND,PG,82,82,2657,402,909,.442,90,252,.357,312,657,.475,.492,360,415,.867,33,297,330,639,100,32,216,165,1254,0,,teaguje01
39,Paul Millsap,31,ATL,PF,69,67,2343,430,972,.442,75,241,.311,355,731,.486,.481,311,405,.768,111,422,533,252,90,62,158,186,1246,0,AS,millspa01
40,LaMarcus Aldridge,31,SAS,PF,72,72,2335,500,1049,.477,23,56,.411,477,993,.480,.488,220,271,.812,172,351,523,139,46,88,98,158,1243,0,DPOY-8,aldrila01
41,Nikola Jokić,21,DEN,C,73,59,2038,494,854,.578,45,139,.324,449,715,.628,.605,188,228,.825,212,506,718,359,61,55,171,214,1221,6,,jokicni01
42,Eric Gordon,28,HOU,SG,75,15,2323,412,1016,.406,246,661,.372,166,355,.468,.527,147,175,.840,29,172,201,188,48,41,121,150,1217,0,6MOY-1,gordoer01
43,Jordan Clarkson,24,LAL,SG,82,19,2397,477,1071,.445,117,356,.329,360,715,.503,.500,134,168,.798,49,197,246,213,88,8,164,150,1205,0,,clarkjo01
44,Kristaps Porziņģis,21,NYK,PF,66,65,2164,443,985,.450,112,314,.357,331,671,.493,.507,198,252,.786,111,364,475,97,47,129,118,244,1196,0,,porzikr01
45,JJ Redick,32,LAC,SG,78,78,2198,396,890,.445,201,468,.429,195,422,.462,.558,180,202,.891,11,160,171,110,54,13,98,125,1173,0,,redicjj01
46,Myles Turner,20,IND,C,81,81,2541,444,869,.511,40,115,.348,404,754,.536,.534,245,303,.809,139,450,589,106,74,172,105,262,1173,0,,turnemy01
47,Serge Ibaka,27,2TM,PF,79,79,2422,471,982,.480,124,317,.391,347,665,.522,.543,107,125,.856,129,409,538,75,41,124,105,215,1173,0,,ibakase01
47,Serge Ibaka,27,ORL,PF,56,56,1710,343,703,.488,83,214,.388,260,489,.532,.547,77,91,.846,100,282,382,60,34,91,66,139,846,0,,ibakase01
47,Serge Ibaka,27,TOR,PF,23,23,712,128,279,.459,41,103,.398,87,176,.494,.532,30,34,.882,29,127,156,15,7,33,39,76,327,0,,ibakase01
48,Evan Fournier,24,ORL,SG,68,66,2234,408,930,.439,128,360,.356,280,570,.491,.508,223,277,.805,44,165,209,202,66,4,141,180,1167,0,,fournev01
49,Nicolas Batum,28,CHO,SG,77,77,2617,393,975,.403,135,405,.333,258,570,.453,.472,243,284,.856,46,435,481,456,86,29,194,109,1164,1,,batumni01
50,Derrick Rose,28,NYK,PG,64,64,2082,460,977,.471,13,60,.217,447,917,.487,.477,221,253,.874,66,180,246,283,44,17,147,84,1154,0,,rosede01
51,Danilo Gallinari,28,DEN,SF,63,63,2134,335,750,.447,126,324,.389,209,426,.491,.531,349,387,.902,39,286,325,135,40,15,82,93,1145,0,,gallida01
52,Tim Hardaway Jr.,24,ATL,SG,79,30,2154,415,912,.455,149,417,.357,266,495,.537,.537,164,214,.766,35,189,224,182,55,15,106,103,1143,0,6MOY-10,hardati02
53,Kevin Love,28,CLE,PF,60,60,1885,370,867,.427,145,389,.373,225,478,.471,.510,257,295,.871,148,518,666,116,53,21,122,125,1142,0,AS,loveke01
54,Rudy Gobert,24,UTA,C,81,81,2744,413,625,.661,0,1,.000,413,624,.662,.661,311,476,.653,314,721,1035,97,49,214,147,246,1137,0,DPOY-2NBA2DEF1,goberru01
55,Wilson Chandler,29,DEN,SF,71,33,2197,433,939,.461,110,326,.337,323,613,.527,.520,141,194,.727,103,357,460,141,51,30,114,172,1117,0,,chandwi01
56,Bojan Bogdanović,27,2TM,SF,81,54,2083,376,845,.445,144,392,.367,232,453,.512,.530,217,243,.893,37,240,277,111,34,7,131,146,1113,0,,bogdabo02
56,Bojan Bogdanović,27,BRK,SF,55,54,1482,269,611,.440,99,277,.357,170,334,.509,.521,146,167,.874,23,174,197,90,24,3,93,99,783,0,,bogdabo02
56,Bojan Bogdanović,27,WAS,SF,26,0,601,107,234,.457,45,115,.391,62,119,.521,.553,71,76,.934,14,66,80,21,10,4,38,47,330,0,,bogdabo02
57,Andre Drummond,23,DET,C,81,81,2409,483,911,.530,2,7,.286,481,904,.532,.531,137,355,.386,345,770,1115,90,124,89,152,237,1105,0,,drumman01
58,Marcus Morris,27,DET,SF,79,79,2565,421,1007,.418,118,357,.331,303,650,.466,.477,145,185,.784,77,289,366,160,52,25,87,168,1105,0,,morrima03
59,Chris Paul,31,LAC,PG,61,61,1921,374,785,.476,124,302,.411,250,483,.518,.555,232,260,.892,40,264,304,563,119,8,147,146,1104,1,DEF1,paulch01
60,Nikola Vučević,26,ORL,C,75,55,2163,483,1031,.468,23,75,.307,460,956,.481,.480,107,160,.669,176,603,779,208,76,74,117,180,1096,0,,vucevni01
61,Dwyane Wade,35,CHI,SG,60,59,1792,414,955,.434,45,145,.310,369,810,.456,.457,223,281,.794,63,207,270,228,86,41,138,112,1096,0,,wadedw01
62,Otto Porter Jr.,23,WAS,SF,80,80,2605,414,803,.516,148,341,.434,266,462,.576,.608,99,119,.832,118,396,514,121,116,42,44,193,1075,0,,porteot01
63,Ersan İlyasova,29,3TM,PF,82,52,2142,384,890,.431,142,402,.353,242,488,.496,.511,161,207,.778,115,366,481,141,58,23,116,211,1071,0,,ilyaser01
63,Ersan İlyasova,29,OKC,PF,3,0,62,6,16,.375,3,12,.250,3,4,.750,.469,0,0,,2,14,16,1,3,1,4,5,15,0,,ilyaser01
63,Ersan İlyasova,29,PHI,PF,53,40,1447,285,648,.440,107,298,.359,178,350,.509,.522,109,142,.768,71,243,314,97,33,14,78,133,786,0,,ilyaser01
63,Ersan İlyasova,29,ATL,PF,26,12,633,93,226,.412,32,92,.348,61,134,.455,.482,52,65,.800,42,109,151,43,22,8,34,73,270,0,,ilyaser01
64,Victor Oladipo,24,OKC,SG,67,67,2222,412,932,.442,127,352,.361,285,580,.491,.510,116,154,.753,39,252,291,176,78,21,119,155,1067,0,,oladivi01
65,Markieff Morris,27,WAS,PF,76,76,2374,406,889,.457,71,196,.362,335,693,.483,.497,180,215,.837,107,386,493,126,82,42,129,254,1063,0,,morrima02
66,Kentavious Caldwell-Pope,23,DET,SG,76,75,2529,370,928,.399,153,437,.350,217,491,.442,.481,154,185,.832,55,193,248,193,89,12,86,118,1047,0,,caldwke01
67,Elfrid Payton,22,ORL,PG,82,58,2412,430,912,.471,40,146,.274,390,766,.509,.493,146,211,.692,89,298,387,529,88,40,178,177,1046,5,,paytoel01
68,Dario Šarić,22,PHI,PF,81,36,2129,381,927,.411,106,341,.311,275,586,.469,.468,172,220,.782,112,401,513,182,57,30,183,162,1040,0,ROY-2,saricda01
69,Enes Freedom,24,OKC,C,72,0,1533,402,737,.545,5,38,.132,397,699,.568,.549,224,285,.786,195,287,482,67,32,38,123,154,1033,0,6MOY-8,kanteen01
70,Jrue Holiday,26,NOP,PG,67,61,2190,405,893,.454,100,281,.356,305,612,.498,.510,119,168,.708,46,218,264,488,100,44,194,133,1029,0,,holidjr01
71,DeAndre Jordan,28,LAC,C,81,81,2570,412,577,.714,0,2,.000,412,575,.717,.714,205,425,.482,298,816,1114,96,51,134,115,212,1029,0,ASNBA3,jordade01
72,Zach Randolph,35,MEM,PF,73,5,1786,433,964,.449,21,94,.223,412,870,.474,.460,141,193,.731,182,416,598,122,38,10,99,136,1028,0,6MOY-4,randoza01
73,Jabari Parker,21,MIL,PF,51,50,1728,399,814,.490,65,178,.365,334,636,.525,.530,162,218,.743,79,235,314,142,50,22,93,111,1025,0,,parkeja01
74,Aaron Gordon,21,ORL,SF,80,72,2298,393,865,.454,77,267,.288,316,598,.528,.499,156,217,.719,116,289,405,150,65,40,89,172,1019,0,,gordoaa01
75,Jamal Crawford,36,LAC,SG,82,1,2157,359,870,.413,116,322,.360,243,548,.443,.479,174,203,.857,17,112,129,214,61,14,134,115,1008,0,6MOY-7,crawfja01
76,Dwight Howard,31,ATL,C,74,74,2199,388,613,.633,0,2,.000,388,611,.635,.633,226,424,.533,296,644,940,104,64,92,170,203,1002,0,,howardw01
77,Tyler Johnson,24,MIA,PG,73,0,2178,357,824,.433,93,250,.372,264,574,.460,.490,195,254,.768,50,243,293,233,84,44,90,176,1002,0,6MOY-11,johnsty01
78,Jae Crowder,26,BOS,SF,72,72,2335,333,720,.463,157,394,.398,176,326,.540,.572,176,217,.811,48,367,415,155,73,23,80,161,999,0,,crowdja01
79,Wesley Matthews,30,DAL,SG,73,73,2495,333,847,.393,174,479,.363,159,368,.432,.496,146,179,.816,18,241,259,210,77,15,102,161,986,0,,matthwe02
80,D'Angelo Russell,20,LAL,PG,63,60,1811,351,867,.405,135,384,.352,216,483,.447,.483,147,188,.782,31,190,221,303,87,16,176,130,984,0,,russeda01
81,Ryan Anderson,28,HOU,PF,72,72,2116,323,773,.418,204,506,.403,119,267,.446,.550,129,150,.860,112,218,330,68,31,14,55,142,979,0,,anderry01
82,James Johnson,29,MIA,PF,76,5,2085,368,769,.479,87,256,.340,281,513,.548,.535,152,215,.707,66,310,376,276,76,86,171,197,975,0,6MOY-5,johnsja01
83,Julius Randle,22,LAL,PF,74,73,2132,377,773,.488,17,63,.270,360,710,.507,.499,204,282,.723,150,486,636,264,49,37,173,248,975,3,,randlju01
84,Jonas Valančiūnas,24,TOR,C,80,80,2066,391,702,.557,1,2,.500,390,700,.557,.558,176,217,.811,226,533,759,57,37,63,106,216,959,0,,valanjo01
85,Al Horford,30,BOS,C,68,68,2193,379,801,.473,86,242,.355,293,559,.524,.527,108,135,.800,95,370,465,337,52,86,115,138,952,0,,horfoal01
86,Greg Monroe,26,MIL,C,81,0,1823,387,726,.533,0,4,.000,387,722,.536,.533,177,239,.741,167,365,532,187,92,38,140,168,951,0,6MOY-6,monrogr01
87,T.J. Warren,23,PHO,SF,66,59,2048,403,814,.495,26,98,.265,377,716,.527,.511,119,154,.773,125,214,339,75,76,39,57,175,951,0,,warretj01
88,Trevor Ariza,31,HOU,SF,80,80,2773,326,798,.409,191,555,.344,135,243,.556,.528,93,126,.738,54,404,458,175,147,20,73,133,936,0,,arizatr01
89,Sean Kilpatrick,27,BRK,SG,70,24,1754,305,735,.415,105,308,.341,200,427,.468,.486,204,242,.843,22,258,280,157,45,6,135,118,919,0,,kilpase01
90,Steven Adams,23,OKC,C,80,80,2389,374,655,.571,0,1,.000,374,654,.572,.571,157,257,.611,281,332,613,86,89,78,146,195,905,0,,adamsst01
91,Darren Collison,29,SAC,PG,68,64,2063,340,714,.476,73,175,.417,267,539,.495,.527,147,171,.860,23,129,152,312,67,9,114,119,900,0,,collida01
92,Seth Curry,26,DAL,PG,70,42,2029,338,703,.481,137,322,.425,201,381,.528,.578,85,100,.850,25,154,179,189,79,7,92,126,898,0,,curryse01
93,Avery Bradley,26,BOS,SG,55,55,1835,359,775,.463,108,277,.390,251,498,.504,.533,68,93,.731,65,269,334,122,68,11,88,141,894,0,,bradlav01
94,Zach LaVine,21,MIN,SG,47,47,1749,326,710,.459,120,310,.387,206,400,.515,.544,117,140,.836,19,141,160,139,41,10,85,104,889,0,,lavinza01
95,Austin Rivers,24,LAC,SG,74,29,2054,323,731,.442,111,299,.371,212,432,.491,.518,132,191,.691,20,141,161,204,48,10,115,187,889,0,,riverau01
96,Marcin Gortat,32,WAS,C,82,82,2556,390,674,.579,0,2,.000,390,672,.580,.579,103,159,.648,238,611,849,121,40,61,119,213,883,0,,gortama01
97,Frank Kaminsky,23,CHO,C,75,16,1954,320,802,.399,116,354,.328,204,448,.455,.471,118,156,.756,57,279,336,162,46,34,76,139,874,0,,kaminfr01
