Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
98,Buddy Hield,24,2TM,SG,82,55,1888,327,767,.426,148,379,.391,179,388,.461,.523,64,76,.842,35,234,269,121,38,9,101,115,866,0,ROY-4,hieldbu01
98,Buddy Hield,24,NOP,SG,57,37,1161,185,471,.393,89,241,.369,96,230,.417,.487,29,33,.879,19,147,166,77,18,7,48,81,488,0,,hieldbu01
98,Buddy Hield,24,SAC,SG,25,18,727,142,296,.480,59,138,.428,83,158,.525,.579,35,43,.814,16,87,103,44,20,2,53,34,378,0,,hieldbu01
99,Robert Covington,26,PHI,SF,67,67,2119,292,732,.399,137,412,.333,155,320,.484,.492,143,174,.822,92,344,436,102,127,69,131,203,864,0,DPOY-4,covinro01
100,Terrence Ross,25,2TM,SF,78,24,1955,326,746,.437,142,391,.363,184,355,.518,.532,64,77,.831,18,188,206,88,87,33,68,143,858,0,,rosste01
100,Terrence Ross,25,TOR,SF,54,0,1207,211,479,.441,96,256,.375,115,223,.516,.541,41,50,.820,14,124,138,45,53,20,33,82,559,0,,rosste01
100,Terrence Ross,25,ORL,SF,24,24,748,115,267,.431,46,135,.341,69,132,.523,.517,23,27,.852,4,64,68,43,34,13,35,61,299,0,,rosste01
101,Gary Harris,22,DEN,SG,57,56,1782,320,637,.502,107,255,.420,213,382,.558,.586,104,134,.776,48,130,178,164,71,8,76,92,851,0,,harriga01
102,Marvin Williams,30,CHO,PF,76,76,2295,297,704,.422,124,354,.350,173,350,.494,.510,131,150,.873,89,411,500,106,58,53,60,134,849,0,,willima02
103,Taj Gibson,31,2TM,PF,78,71,1989,365,709,.515,3,13,.231,362,696,.520,.517,113,158,.715,158,327,485,73,41,65,105,163,846,0,,gibsota01
103,Taj Gibson,31,CHI,PF,55,55,1502,276,530,.521,2,12,.167,274,518,.529,.523,85,119,.714,120,262,382,60,27,50,77,123,639,0,,gibsota01
103,Taj Gibson,31,OKC,PF,23,16,487,89,179,.497,1,1,1.000,88,178,.494,.500,28,39,.718,38,65,103,13,14,15,28,40,207,0,,gibsota01
104,Allen Crabbe,24,POR,SG,79,7,2254,303,647,.468,134,302,.444,169,345,.490,.572,105,124,.847,19,207,226,94,54,20,62,171,845,0,,crabbal01
105,Mason Plumlee,26,2TM,C,81,64,2148,334,623,.536,0,6,.000,334,617,.541,.536,174,300,.580,170,435,605,284,69,92,134,226,842,0,,plumlma01
105,Mason Plumlee,26,POR,C,54,54,1516,235,442,.532,0,5,.000,235,437,.538,.532,127,224,.567,120,312,432,214,50,63,88,149,597,0,,plumlma01
105,Mason Plumlee,26,DEN,C,27,10,632,99,181,.547,0,1,.000,99,180,.550,.547,47,76,.618,50,123,173,70,19,29,46,77,245,0,,plumlma01
106,Robin Lopez,28,CHI,C,81,81,2271,382,775,.493,0,2,.000,382,773,.494,.493,75,104,.721,244,276,520,80,18,117,91,151,839,0,,lopezro01
107,Ricky Rubio,26,MIN,PG,75,75,2469,261,650,.402,60,196,.306,201,454,.443,.448,254,285,.891,68,237,305,682,128,10,195,202,836,1,,rubiori01
108,Courtney Lee,31,NYK,SG,77,74,2459,321,704,.456,108,269,.401,213,435,.490,.533,85,98,.867,53,206,259,179,81,24,69,141,835,0,,leeco01
109,Marcus Smart,22,BOS,SG,79,24,2399,269,749,.359,94,332,.283,175,417,.420,.422,203,250,.812,78,227,305,364,125,34,159,192,835,0,,smartma01
110,George Hill,30,UTA,PG,49,49,1544,289,606,.477,94,233,.403,195,373,.523,.554,157,196,.801,23,144,167,204,50,11,85,114,829,0,,hillge01
111,Will Barton,26,DEN,SG,60,19,1705,295,666,.443,87,235,.370,208,431,.483,.508,143,190,.753,58,201,259,206,48,28,97,110,820,0,,bartowi01
112,Clint Capela,22,HOU,C,65,59,1551,362,563,.643,0,0,,362,563,.643,.643,94,177,.531,178,348,526,63,34,79,87,179,818,0,,capelca01
113,Gorgui Dieng,27,MIN,PF,82,82,2653,332,661,.502,16,43,.372,316,618,.511,.514,136,167,.814,188,459,647,158,88,95,107,254,816,0,,dienggo01
114,C.J. Miles,29,IND,SF,76,29,1776,281,647,.434,169,409,.413,112,238,.471,.565,84,93,.903,30,199,229,48,46,25,40,151,815,0,,milescj01
115,Thaddeus Young,28,IND,PF,74,74,2237,362,687,.527,45,118,.381,317,569,.557,.560,45,86,.523,131,317,448,122,113,29,95,135,814,0,,youngth01
116,Jamal Murray,19,DEN,SG,82,10,1764,295,730,.404,115,344,.334,180,386,.466,.483,106,120,.883,41,173,214,170,51,24,113,124,811,0,ROY-5,murraja01
117,Kent Bazemore,27,ATL,SF,73,64,1963,295,721,.409,92,266,.346,203,455,.446,.473,119,168,.708,45,186,231,177,91,52,125,165,801,0,,bazemke01
118,Pau Gasol,36,SAS,C,64,39,1627,303,604,.502,56,104,.538,247,500,.494,.548,130,184,.707,107,394,501,150,24,70,81,110,792,0,,gasolpa01
119,Nick Young,31,LAL,SG,60,60,1556,272,633,.430,170,421,.404,102,212,.481,.564,77,90,.856,25,113,138,58,37,14,36,137,791,0,,youngni01
120,Marco Belinelli,30,CHO,SG,74,0,1778,264,615,.429,102,283,.360,162,332,.488,.512,150,168,.893,14,164,178,147,44,9,70,90,780,0,,belinma01
121,Draymond Green,26,GSW,PF,76,76,2471,272,650,.418,81,263,.308,191,387,.494,.481,151,213,.709,98,501,599,533,154,106,184,217,776,5,DPOY-1ASNBA3DEF1,greendr01
122,Maurice Harkless,23,POR,SF,77,69,2223,314,624,.503,68,194,.351,246,430,.572,.558,77,124,.621,125,216,341,88,85,70,86,214,773,0,,harklma01
123,Shabazz Muhammad,24,MIN,SF,78,1,1516,288,598,.482,49,145,.338,239,453,.528,.523,147,190,.774,84,136,220,35,22,6,56,86,772,0,,muhamsh01
124,Dirk Nowitzki,38,DAL,PF,54,54,1424,296,678,.437,79,209,.378,217,469,.463,.495,98,112,.875,23,330,353,82,30,38,51,113,769,0,,nowitdi01
125,Malcolm Brogdon,24,MIL,SG,75,28,1982,290,635,.457,78,193,.404,212,442,.480,.518,109,126,.865,47,166,213,317,84,12,113,140,767,1,ROY-16MOY-11,brogdma01
126,Jon Leuer,27,DET,PF,75,34,1944,310,646,.480,49,167,.293,261,479,.545,.518,98,113,.867,102,300,402,111,31,26,66,145,767,0,,leuerjo01
127,Patty Mills,28,SAS,PG,80,8,1754,273,621,.440,147,355,.414,126,266,.474,.558,66,80,.825,24,117,141,280,65,3,101,109,759,0,6MOY-8,millspa02
128,Ish Smith,28,DET,PG,81,32,1955,329,749,.439,28,105,.267,301,644,.467,.458,72,102,.706,21,214,235,418,61,33,112,127,758,0,,smithis01
129,Nik Stauskas,23,PHI,SG,80,27,2188,251,634,.396,132,359,.368,119,275,.433,.500,122,150,.813,21,205,226,188,45,32,128,144,756,0,,stausni01
130,Marquese Chriss,19,PHO,PF,82,75,1743,284,632,.449,72,224,.321,212,408,.520,.506,113,181,.624,96,252,348,60,67,70,108,263,753,0,ROY-7,chrisma01
131,Reggie Jackson,26,DET,PG,52,50,1424,284,677,.419,66,184,.359,218,493,.442,.468,118,136,.868,21,93,114,270,35,5,114,129,752,0,,jacksre01
132,Rodney Hood,24,UTA,SG,59,55,1593,272,666,.408,114,307,.371,158,359,.440,.494,90,115,.783,16,186,202,96,38,11,65,132,748,0,,hoodro01
133,Nikola Mirotić,25,CHI,PF,70,15,1679,258,625,.413,129,377,.342,129,248,.520,.516,99,128,.773,61,323,384,75,53,55,80,128,744,0,,mirotni01
134,Michael Kidd-Gilchrist,23,CHO,SF,81,81,2349,295,618,.477,1,9,.111,294,609,.483,.478,152,194,.784,156,409,565,114,81,77,56,187,743,0,,kiddgmi01
135,Brandon Ingram,19,LAL,SF,79,40,2279,276,686,.402,55,187,.294,221,499,.443,.442,133,214,.621,60,256,316,166,50,36,116,158,740,0,,ingrabr01
136,Cory Joseph,25,TOR,PG,80,22,2003,299,661,.452,48,135,.356,251,526,.477,.489,94,122,.770,51,184,235,265,66,13,108,140,740,0,,josepco01
137,Dion Waiters,25,MIA,SG,46,43,1384,281,663,.424,85,215,.395,196,448,.438,.488,82,127,.646,18,135,153,200,42,20,103,95,729,0,,waitedi01
138,Joe Johnson,35,UTA,SF,78,14,1843,273,626,.436,106,258,.411,167,368,.454,.521,63,77,.818,33,210,243,144,36,18,69,93,715,0,,johnsjo02
139,Marreese Speights,29,LAC,C,82,2,1286,244,548,.445,103,277,.372,141,271,.520,.539,120,137,.876,88,285,373,65,23,41,69,229,711,0,,speigma01
