Team,Pos,Age,G,GS,MP,WS,WS/48,BPM,VORP,LEBRON,O-LEBRON,D-LEBRON,WAR,Season_End_Year,All_NBA_Target
2TM,C,37.0,27.0,15.0,402.0,1.3,0.149,0.7,0.3,0.3096924340388977,-0.6067338636536923,0.91642629769259,0.7056630789655157,2016,0
SAC,SG,26.0,51.0,15.0,721.0,-0.3,-0.017,-4.5,-0.5,-1.965298457606521,-1.8320297202070204,-0.1332687373995006,0.1494698320980373,2016,0
DAL,SF,22.0,55.0,9.0,647.0,1.1,0.083,0.3,0.4,0.3536435777639013,-0.7651827460077236,1.118826323771625,1.1532437570550484,2016,0
SAS,SF,22.0,78.0,11.0,1245.0,3.5,0.133,1.4,1.1,0.8976643283739041,-0.8555040543431125,1.7531683827170166,2.681445300523775,2016,0
NOP,PF,27.0,66.0,7.0,2008.0,3.9,0.092,-0.2,0.9,0.6396537421999382,2.1884734902210785,-1.5488197480211403,3.972255877581493,2016,0
MIL,PG,21.0,80.0,79.0,2823.0,7.1,0.121,2.1,2.9,1.6979335022592252,0.9239157069274184,0.7740177953318067,7.612268233854171,2016,0
NYK,SF,31.0,72.0,72.0,2530.0,6.4,0.121,3.3,3.4,1.7036267578862234,2.5852630822208305,-0.881636324334607,6.830643397272984,2016,0
HOU,SF,30.0,81.0,81.0,2859.0,5.4,0.09,0.4,1.7,0.5455186334020881,1.0015563002840595,-0.4560376668819715,5.47172979284099,2016,0
LAL,SF,36.0,35.0,5.0,590.0,0.1,0.008,-3.5,-0.2,-0.3510389118988239,-0.0381065167958676,-0.3129323951029563,0.7680016707328917,2016,0
DEN,PF,27.0,70.0,16.0,1516.0,2.3,0.072,-0.8,0.4,-1.4156114471387249,-1.6046239447835875,0.1890124976448627,0.8762628705373964,2016,0
2TM,PG,28.0,62.0,0.0,1178.0,2.6,0.106,-0.4,0.4,-1.6515671894259405,-0.0326017787191942,-1.618965410706746,0.4929032690884258,2016,0
NOP,SF,26.0,47.0,13.0,845.0,1.1,0.064,-2.5,-0.1,-1.3454246760008006,-0.3989047304443162,-0.9465199455564844,0.5285781679354546,2016,0
GSW,SG,33.0,68.0,0.0,1079.0,2.1,0.092,-2.0,0.0,-0.7764193929227833,-0.2036884289544261,-0.5727309639683571,1.0921739610627836,2016,0
DAL,PG,31.0,74.0,16.0,1667.0,2.8,0.082,0.0,0.9,-1.144694302391356,0.905233124876746,-2.049927427268102,1.2696238385371357,2016,0
BRK,C,30.0,46.0,0.0,634.0,0.2,0.013,-5.1,-0.5,-2.8769431809153048,-2.00269323751628,-0.8742499433990248,-0.2531165568967853,2016,0
GSW,SF,23.0,66.0,59.0,2042.0,4.9,0.116,-1.3,0.3,-0.8052830173730703,-0.519149204756717,-0.2861338126163532,2.026018158138029,2016,0
MEM,SF,35.0,76.0,45.0,2190.0,2.6,0.056,-0.9,0.6,-0.1642653712398901,0.0564901586790473,-0.2207555299189375,3.130794656753833,2016,0
DEN,SG,25.0,82.0,1.0,2353.0,4.3,0.088,0.8,1.7,-1.1620610568953336,0.5305938489172932,-1.6926549058126268,1.764708348703852,2016,0
LAL,PF,30.0,66.0,0.0,1342.0,4.1,0.146,0.6,0.9,-0.2493248962953775,0.0039666818468153,-0.2532915781421929,1.840931587469587,2016,0
CHO,SF,27.0,70.0,70.0,2448.0,5.0,0.097,1.2,2.0,0.5194056975329913,0.2766254420371776,0.2427802554958136,4.64086129100856,2016,0
MIL,SG,27.0,52.0,18.0,1505.0,2.4,0.075,-0.8,0.4,-2.198373512704122,-0.6704102358358597,-1.5279632768682625,0.0769739665943487,2016,0
DET,C,29.0,81.0,1.0,1233.0,4.1,0.158,-0.2,0.6,-0.2693194885212448,-0.6958752631642733,0.4265557746430285,1.6739325352165453,2016,0
ATL,SF,26.0,75.0,68.0,2083.0,4.1,0.094,0.3,1.2,0.3921537917803487,-0.5007195997002869,0.8928733914806356,3.768509980902964,2016,0
WAS,SG,22.0,55.0,35.0,1708.0,2.7,0.076,0.3,1.0,0.0959618361321065,0.5436855778869978,-0.4477237417548912,2.745458259410889,2016,0
HOU,PF,27.0,20.0,0.0,363.0,1.0,0.128,0.9,0.3,-1.5517572370851374,0.1182203325958243,-1.6699775696809618,0.1761890860782541,2016,0
SAC,SG,29.0,68.0,7.0,1672.0,0.5,0.014,-3.8,-0.8,-2.140872585824121,-0.8620191029992805,-1.2788534828248412,0.1498351998973287,2016,0
HOU,PG,27.0,71.0,63.0,2041.0,4.4,0.103,0.2,1.1,0.0841008287551384,0.2969888925680214,-0.212888063812883,3.263000781896721,2016,0
TOR,C,23.0,82.0,22.0,1808.0,5.9,0.156,-0.2,0.8,0.7853037143911128,-1.4419908477503285,2.227294562141441,3.755270534648663,2016,0
MIN,PF,27.0,60.0,0.0,1075.0,1.9,0.087,-0.7,0.3,-0.5454973742923424,-1.0465756106257,0.5010782363333577,1.2567286199950918,2016,0
LAL,C,24.0,39.0,0.0,496.0,0.7,0.072,-3.3,-0.2,0.4813977611973303,-1.30845407883958,1.7898518400369103,0.9268366059762604,2016,0
DET,PG,35.0,58.0,2.0,986.0,1.1,0.053,-2.4,-0.1,-1.33867450721304,-1.0426510647601352,-0.2960234424529047,0.6215308181758954,2016,0
PHO,PG,26.0,31.0,31.0,1059.0,2.5,0.116,3.3,1.4,2.3666317819111287,1.1128425101247317,1.2537892717863974,3.329317536882633,2016,0
BRK,SF,26.0,79.0,39.0,2115.0,0.9,0.021,-3.5,-0.8,-3.3980937394925217,-1.182181236204184,-2.215912503288338,-1.5662707710951296,2016,0
GSW,C,31.0,70.0,66.0,1451.0,5.4,0.18,2.4,1.6,1.2296552198557795,-2.009259303478687,3.2389145233344667,3.453211759269766,2016,0
PHO,SG,19.0,76.0,51.0,2108.0,1.9,0.043,-2.8,-0.5,-3.1069692080563573,-0.7430850480700235,-2.363884159986334,-1.1605868972931714,2016,0
UTA,PF,28.0,79.0,2.0,1632.0,4.3,0.128,0.0,0.8,0.3749554519477164,-0.376758546240196,0.7517139981879124,2.933599850869738,2016,0
MIA,PF,31.0,53.0,53.0,1778.0,6.4,0.172,4.0,2.7,2.0332656476740327,1.055742705883777,0.977522941790256,5.194355186417824,2016,0
BOS,SG,25.0,76.0,72.0,2536.0,4.8,0.09,-0.1,1.2,0.3300811053463194,0.6291280822551981,-0.2990469769088787,4.481324404826624,2016,0
PHI,C,36.0,17.0,1.0,225.0,0.2,0.036,-3.4,-0.1,-0.6296233422126478,-1.562965408524591,0.9333420663119432,0.2499040942559847,2016,0
HOU,SF,29.0,82.0,12.0,1669.0,1.2,0.035,-2.9,-0.4,-1.8777310899489328,-0.8464578252209132,-1.0312732647280196,0.4442581565453322,2016,0
CHI,PG,31.0,69.0,0.0,1108.0,0.9,0.04,-2.6,-0.2,-0.2779212113701604,0.1533238709176258,-0.4312450822877862,1.4975880930258645,2016,0
LAL,SF,23.0,29.0,11.0,599.0,-0.3,-0.024,-5.5,-0.5,-1.526702865298012,-1.6562054651974645,0.1295025998994525,0.3010582808891012,2016,0
BRK,SG,24.0,62.0,6.0,982.0,0.6,0.031,-3.0,-0.3,-1.6723232983956038,-0.2872730589259126,-1.385050239469691,0.3973225318112336,2016,0
LAL,SF,37.0,66.0,66.0,1863.0,-0.4,-0.01,-1.6,0.2,-1.8108480217820675,0.3408742494777946,-2.151722271259862,0.5799052991952424,2016,0
2TM,SF,27.0,66.0,2.0,929.0,1.4,0.073,-1.3,0.2,0.4151692701527758,-0.0803859759052726,0.4955552460580484,1.6963561167737555,2016,0
UTA,PG,23.0,64.0,0.0,1366.0,2.1,0.074,-0.5,0.5,-1.7929052418548233,0.2095280612571371,-2.0024333031119603,0.4415579278202754,2016,0
UTA,SG,24.0,31.0,3.0,797.0,1.5,0.09,-0.4,0.3,-1.165253823773971,-0.0540437381736774,-1.111210085600293,0.596181802964295,2016,0
DET,SG,22.0,76.0,76.0,2789.0,5.3,0.092,-0.3,1.2,1.1362323778542132,0.9444957020461642,0.1917366758080489,6.458580543457487,2016,0
PHI,SG,24.0,77.0,39.0,1966.0,1.4,0.035,-2.4,-0.2,-3.0034384721424923,-0.8274545179677706,-2.175983954174722,-0.9489799838324444,2016,0
HOU,C,21.0,77.0,35.0,1471.0,4.4,0.144,-0.4,0.6,1.7939973633541475,0.2562294735218323,1.5377678898323155,4.060705518276346,2016,0
MIL,PG,24.0,54.0,37.0,1649.0,1.2,0.035,-0.7,0.5,-0.600668834680584,-0.878531546204895,0.2778627115243111,1.866729030354298,2016,0
MEM,SG,39.0,60.0,3.0,1005.0,1.8,0.084,-1.0,0.3,-0.1140086620703711,0.1578946765530392,-0.2719033386234104,1.471474356324313,2016,0
SAC,PF,27.0,69.0,21.0,1880.0,3.6,0.092,0.1,1.0,-0.3007358667416703,0.1633992577082702,-0.4641351244499405,2.512725493242037,2016,0
SAC,C,22.0,66.0,39.0,1412.0,3.8,0.13,-0.8,0.4,0.6584349684062119,-0.1321782537945653,0.7906132222007772,2.8100968004280387,2016,0
2TM,PG,29.0,61.0,7.0,1373.0,3.8,0.132,1.3,1.2,1.1691273332864356,1.0816114979559044,0.0875158353305311,3.209783653470153,2016,0
PHO,C,33.0,66.0,60.0,1618.0,3.8,0.112,-1.1,0.4,-0.1007817379839923,-1.644243352453315,1.543461614469323,2.383148157867673,2016,0
LAL,SG,23.0,79.0,79.0,2552.0,2.1,0.039,-1.6,0.2,-2.074658642281027,-0.1260506491063277,-1.9486079931746991,0.3419813243435924,2016,0
NOP,PG,27.0,45.0,23.0,1198.0,-0.1,-0.004,-3.8,-0.5,-1.3320571953704554,-0.9573127236628992,-0.3747444717075562,0.760415029129371,2016,0
SAC,PG,28.0,74.0,15.0,2219.0,5.2,0.113,0.1,1.2,-0.263682793764578,1.2693893598128647,-1.5330721535774428,3.021219936948612,2016,0
OKC,PF,35.0,59.0,4.0,699.0,0.8,0.053,-3.1,-0.2,-1.9574355515922623,-2.541697789024822,0.5842622374325596,0.1486763102813046,2016,0
MEM,PG,28.0,56.0,56.0,1761.0,5.3,0.144,3.0,2.2,2.4410347742471497,2.394931294429146,0.0461034798180033,5.623236317698338,2016,0
PHI,SF,25.0,67.0,49.0,1903.0,2.0,0.05,-0.9,0.5,0.2413800065319368,-0.6877243233287672,0.929104329860704,3.247204526417136,2016,0
POR,SG,23.0,81.0,8.0,2105.0,4.3,0.098,-1.0,0.5,-1.813377448767564,-0.4128410679509117,-1.4005363808166518,0.6514190997818027,2016,0
LAC,SG,35.0,79.0,5.0,2126.0,3.3,0.076,-1.4,0.3,-2.227359887236952,-0.4147688182091325,-1.8125910690278184,0.0675502124535839,2016,0
BOS,SF,25.0,73.0,73.0,2308.0,7.3,0.152,2.2,2.5,2.0753844930075096,1.1276089066203527,0.9477755863871568,6.809011277064301,2016,0
NOP,SF,28.0,80.0,46.0,1971.0,2.1,0.052,-2.8,-0.4,-1.8989151363804384,-1.9749225794418688,0.0760074430614301,0.4966110039891656,2016,0
SAC,PG,25.0,44.0,9.0,692.0,1.4,0.097,-0.2,0.3,-1.0298194897273216,-0.111946176228582,-0.9178733134987396,0.5808215447705536,2016,0
GSW,PG,27.0,79.0,79.0,2700.0,17.9,0.318,11.9,9.5,6.598615576294075,7.119590860678828,-0.5209752843847527,15.623458128254915,2016,3
CHO,SG,24.0,43.0,0.0,476.0,1.1,0.109,0.7,0.3,-1.6843948965584534,-0.1255251304051843,-1.558869766153269,0.1887893133066925,2016,0
NOP,C,22.0,61.0,61.0,2164.0,7.2,0.16,3.9,3.2,3.252834119267208,1.7381611712573757,1.514672948009832,8.07203789639449,2016,0
POR,PF,26.0,81.0,0.0,1684.0,6.7,0.192,1.9,1.6,1.5084187629223926,0.2931353095967985,1.215283453325594,4.325223471382973,2016,0
ORL,C,26.0,58.0,20.0,705.0,2.4,0.162,-0.9,0.2,-0.2801590706768682,-1.6796160322327252,1.399456961555857,0.9518522154638148,2016,0
NOP,SG,23.0,14.0,11.0,279.0,0.2,0.033,-2.5,0.0,0.3160110542021408,-0.2890745496870402,0.605085603889181,0.4895730826778285,2016,0
CLE,PG,25.0,76.0,14.0,1867.0,3.8,0.098,-1.2,0.4,0.586933241621101,1.0979645660750532,-0.5110313244539522,3.626416589290765,2016,0
MIA,PF,30.0,74.0,73.0,2394.0,6.4,0.128,0.8,1.7,0.4410834350441919,0.2818125763068976,0.1592708587372943,4.411170821176823,2016,0
SAS,PF,33.0,76.0,4.0,1386.0,3.8,0.132,0.8,1.0,-1.1583957155905518,-1.2337519701019888,0.075356254511437,1.0424651182043887,2016,0
MIN,C,26.0,82.0,39.0,2220.0,5.9,0.127,0.8,1.5,0.0261919734685989,-1.214112496073497,1.240304469542096,3.462298488990801,2016,0
NOP,PG,29.0,61.0,18.0,1262.0,2.5,0.094,0.0,0.6,0.2967390334203168,1.0298474887088709,-0.7331084552885541,2.201519875899704,2016,0
DET,C,22.0,81.0,81.0,2666.0,7.4,0.133,1.1,2.0,3.093776523144243,0.475952244302848,2.617824278841395,9.66393832257512,2016,1
WAS,PF,30.0,81.0,41.0,2098.0,4.6,0.105,-0.1,1.0,0.4337436928233656,-0.7228540750372083,1.156597767860574,3.855107007480032,2016,0
SAS,C,39.0,61.0,60.0,1536.0,5.2,0.163,3.0,2.0,1.986482891780032,-0.5024689046806909,2.4889517964607224,4.440847332709033,2016,0
CHI,SF,35.0,31.0,30.0,703.0,0.9,0.063,-3.5,-0.3,-0.9070939663550582,-0.1565624517742917,-0.7505315145807665,0.6486646527505308,2016,0
OKC,SF,27.0,72.0,72.0,2578.0,14.5,0.27,9.9,7.8,4.158331975026305,5.364944454584779,-1.2066124795584745,11.116077678418447,2016,2
BRK,SG,28.0,76.0,41.0,1615.0,0.8,0.025,-2.8,-0.3,-2.3490329702876043,-1.0600526520444675,-1.2889803182431363,-0.0798685626326691,2016,0
IND,SG,30.0,81.0,81.0,2734.0,4.3,0.075,0.1,1.5,0.1037049512626001,-0.3043518021327866,0.4080567533953868,4.408604580307668,2016,0
MIL,PG,21.0,46.0,7.0,654.0,0.4,0.03,-4.3,-0.4,-2.0718747097409613,-1.292908794892497,-0.7789659148484638,0.0889037790149069,2016,0
NOP,SG,26.0,25.0,25.0,765.0,1.4,0.087,1.7,0.7,1.7761604166804297,1.6997626863493025,0.0763977303311272,2.103775652399348,2016,0
GSW,C,26.0,46.0,13.0,770.0,2.7,0.171,-0.1,0.4,0.5154475634197508,-1.058460868372134,1.5739084317918848,1.4583384866668527,2016,0
DEN,PF,26.0,67.0,64.0,1694.0,5.5,0.156,0.3,1.0,1.0359455669880775,1.300493891725229,-0.2645483247371513,3.8091506677481255,2016,0
MEM,PG,29.0,12.0,10.0,291.0,0.4,0.064,-0.7,0.1,-0.1842265011286226,0.0454302914376937,-0.2296567925663164,0.4124065538387825,2016,0
UTA,PF,24.0,62.0,59.0,1983.0,7.1,0.173,3.3,2.6,2.117057369963362,0.4253434762757495,1.6917138936876128,5.90583815894954,2016,0
DAL,PG,31.0,80.0,31.0,2192.0,2.7,0.059,-1.6,0.2,-1.5053716838482056,-0.1625056348009195,-1.342866049047286,1.133881452143562,2016,0
ORL,SF,23.0,79.0,71.0,2566.0,5.7,0.106,-0.3,1.1,-0.7227758501176311,-0.0550370261440111,-0.6677388239736199,2.690821845293458,2016,0
2TM,SG,32.0,81.0,8.0,1642.0,0.4,0.012,-3.3,-0.5,-1.9474221819780304,-1.0676798846523294,-0.879742297325701,0.3600474581800654,2016,0
2TM,PG,25.0,51.0,2.0,741.0,1.0,0.062,-2.0,0.0,-0.1644814114806204,0.1839257314878536,-0.3484071429684741,1.059412321828717,2016,0
2TM,C,32.0,70.0,32.0,1200.0,3.0,0.119,0.8,0.8,0.9617982150789344,0.1921604178523262,0.7696377972266082,2.635478862890795,2016,0
DEN,SF,27.0,53.0,53.0,1839.0,6.3,0.165,2.7,2.2,2.230071886386753,2.344429013963898,-0.1143571275771448,5.61494910898412,2016,0
NYK,PG,24.0,82.0,7.0,2033.0,3.3,0.077,-1.0,0.5,-1.108409382650532,-0.99072568273074,-0.117683699919792,1.598716440246948,2016,0
MIN,PF,39.0,38.0,38.0,556.0,1.1,0.092,1.5,0.5,1.211542474877069,-1.7349903326961638,2.9465328075732327,1.3154733217721388,2016,0
MEM,C,31.0,52.0,52.0,1791.0,3.7,0.098,1.7,1.7,0.7607387080038605,-0.671688595736989,1.4324273037408497,3.6908265354457366,2016,0
CHI,C,35.0,72.0,72.0,2291.0,7.1,0.149,4.9,4.0,1.4492545623426882,0.3669736865785879,1.0822808757641005,5.793553523901447,2016,0
SAC,SF,29.0,70.0,70.0,2379.0,3.8,0.078,-0.3,1.0,0.3058170262988781,-0.0610957025251662,0.3669127288240443,4.163701379858898,2016,0
NOP,SF,28.0,73.0,38.0,1632.0,1.9,0.056,-2.6,-0.2,-2.397873963750507,-2.352659676220595,-0.0452142875299121,-0.1338349458995389,2016,0
IND,SF,25.0,81.0,81.0,2819.0,9.2,0.157,4.9,4.9,2.55002333871702,2.190860005533686,0.3591633331833335,9.208703827188906,2016,1
CHI,PF,30.0,73.0,55.0,1936.0,5.4,0.133,0.0,1.0,-0.3910037546572786,-0.4627658422079899,0.0717620875507112,2.467670696383399,2016,0
UTA,C,23.0,61.0,60.0,1932.0,6.4,0.16,2.2,2.0,2.599100081045649,-0.5981560406257708,3.1972561216714195,6.374599412328909,2016,0
WAS,PF,34.0,30.0,0.0,305.0,0.0,-0.005,-6.3,-0.3,-1.2333931538587657,-1.2965498622523863,0.0631567083936208,0.214059032322228,2016,0
PHO,PG,21.0,57.0,13.0,1114.0,0.1,0.004,-3.7,-0.5,-2.562023661503147,-1.1678868811769856,-1.3941367803261613,-0.2129240196136852,2016,0
ORL,PF,20.0,78.0,37.0,1863.0,5.4,0.139,1.0,1.4,0.2283317556966614,0.1446479812663968,0.0836837744302645,3.1627246479708533,2016,0
NOP,SG,27.0,45.0,44.0,1481.0,2.1,0.069,-0.1,0.7,-0.9875146562132776,-0.4622395973738383,-0.5252750588394395,1.2865169646294112,2016,0
WAS,C,31.0,75.0,74.0,2256.0,7.3,0.156,0.6,1.5,1.4951375591625191,0.2333832235232146,1.2617543356393046,5.773698418372664,2016,0
PHI,PF,21.0,77.0,52.0,2066.0,2.1,0.05,-1.7,0.1,-1.669652307369164,-1.997509697010055,0.327857389640891,0.8396457948077809,2016,0
NYK,PG,23.0,76.0,6.0,1265.0,0.8,0.03,-3.1,-0.3,-1.9708047263598576,-1.238068435307257,-0.7327362910526007,0.2575520131481592,2016,0
SAS,SG,28.0,79.0,79.0,2062.0,4.2,0.099,1.1,1.6,2.1200824819385256,0.2021455680260078,1.9179369139125173,6.142329300885836,2016,0
GSW,PF,25.0,81.0,81.0,2808.0,11.1,0.19,5.5,5.3,5.178542931603722,2.406241220409786,2.7723017111939368,13.893722712876164,2016,2
MIA,SG,30.0,69.0,14.0,1557.0,1.7,0.052,-3.1,-0.4,-1.858321032526016,-0.5712191144214855,-1.2871019181045305,0.4347878993476533,2016,0
2TM,SF,29.0,80.0,41.0,2253.0,3.1,0.065,-1.8,0.1,-1.426007071340805,-0.6304141028373832,-0.795592968503422,1.286566088985044,2016,0
LAC,PF,26.0,35.0,35.0,1170.0,3.8,0.156,4.5,1.9,1.2363727491364598,0.8347102499666074,0.4016624991698525,2.7900374015959404,2016,0
NOP,SF,25.0,11.0,4.0,304.0,0.2,0.03,-3.3,-0.1,-0.5355300024320009,-0.1230500167942471,-0.4124799856377538,0.3571611905725466,2016,0
ATL,SG,23.0,51.0,1.0,864.0,1.9,0.105,-0.9,0.2,-1.4143489236368356,-0.1625731847102748,-1.251775738926561,0.5001690855520003,2016,0
HOU,SG,26.0,82.0,82.0,3125.0,13.3,0.204,6.6,6.8,2.965140058852336,4.557637046320142,-1.5924969874678063,11.06365815174077,2016,0
POR,SF,22.0,78.0,14.0,1457.0,2.9,0.096,-0.5,0.5,-0.7798959940967486,-0.915252229961104,0.1353562358643555,1.4712419831435075,2016,0
DAL,PG,32.0,64.0,0.0,1280.0,2.5,0.095,0.1,0.7,0.1162457564627554,-0.1439645115593102,0.2602102680220657,2.0753680115837585,2016,0
DEN,SG,21.0,76.0,76.0,2439.0,4.0,0.079,-0.9,0.7,-0.4062255619223179,0.2925659370591238,-0.6987914989814418,3.083422255082335,2016,0
2TM,PF,23.0,76.0,74.0,2513.0,6.6,0.126,1.5,2.2,0.2953149873427388,-0.1490783725539834,0.4443933598967223,4.381527138603048,2016,0
CHO,PF,27.0,57.0,6.0,1035.0,1.9,0.09,-0.6,0.3,-0.5896669202904969,-1.520539326377163,0.930872406086666,1.1791381603814426,2016,0
UTA,SF,25.0,80.0,80.0,2893.0,8.9,0.147,2.6,3.3,2.072761057693731,2.15555011634844,-0.0827890586547084,8.52898896212852,2016,0
POR,SG,28.0,72.0,0.0,1431.0,2.0,0.068,-1.8,0.1,-0.8780644419028643,-0.3639729780066323,-0.514091463896232,1.3493331218383788,2016,0
MIL,C,25.0,57.0,1.0,960.0,2.3,0.117,0.2,0.5,-0.4365120560416482,-1.4327986314805918,0.9962865754389436,1.1932581117715826,2016,0
ORL,SF,20.0,79.0,9.0,1413.0,0.9,0.029,-3.1,-0.4,-1.8526741861715224,-1.6666517664760838,-0.1860224196954386,0.3998957896370461,2016,0
LAL,C,29.0,81.0,81.0,1878.0,2.2,0.056,-3.2,-0.6,-3.291872620814284,-3.681479834309015,0.3896072134947312,-1.26114055442629,2016,0
IND,PG,29.0,74.0,73.0,2524.0,6.2,0.118,0.7,1.7,0.8631781824408639,-0.1379268529141407,1.0011050353550046,5.377923357862085,2016,0
DET,SG,22.0,38.0,2.0,383.0,0.5,0.066,-2.5,0.0,-1.2028794863945524,-0.8380384305665796,-0.364841055827973,0.2765976532933345,2016,0
IND,C,28.0,73.0,11.0,1513.0,3.9,0.124,-0.7,0.5,-1.4156353984815868,-0.8977714851784256,-0.5178639133031613,0.8742827062813276,2016,0
IND,SF,24.0,59.0,3.0,866.0,2.1,0.117,0.1,0.5,-0.0013501415839655,-0.113151243044475,0.1118011014605094,1.3343108211378016,2016,0
2TM,PG,35.0,46.0,7.0,631.0,0.6,0.044,-3.5,-0.2,-1.3588531135205215,-1.4312969679944028,0.072443854473881,0.3889405623817362,2016,0
NOP,PG,25.0,65.0,23.0,1831.0,3.4,0.089,2.1,1.9,2.352171091121891,2.3051011393312364,0.0470699517906547,5.739658428445289,2016,0
2TM,SG,26.0,53.0,5.0,773.0,0.6,0.04,-3.1,-0.2,-0.717867609776804,-0.920246686736975,0.202379076960171,0.8125869355313111,2016,0
BRK,SF,21.0,29.0,17.0,615.0,1.2,0.094,0.8,0.4,1.4541252879397772,-0.7641259851612991,2.2182512731010764,1.5579335272675656,2016,0
2TM,C,31.0,37.0,12.0,460.0,1.0,0.1,-3.7,-0.2,-1.5771446589674825,-1.8228486243083788,0.2457039653408962,0.2154518866531138,2016,0
PHI,PF,22.0,51.0,1.0,702.0,1.5,0.103,-1.5,0.1,-0.3273163240620164,-0.3738947728615783,0.046578448799562,0.9254130870220774,2016,0
UTA,SG,23.0,79.0,79.0,2541.0,6.0,0.112,0.7,1.7,-0.4160647150474832,0.042333632517775,-0.4583983475652582,3.19575907491517,2016,0
ATL,C,29.0,82.0,82.0,2631.0,9.4,0.172,3.8,3.9,2.579536089738295,1.0330922812145569,1.5464438085237382,8.646305815225032,2016,0
HOU,C,30.0,71.0,71.0,2280.0,6.6,0.138,0.1,1.2,1.820624771242852,0.2539087370075572,1.5667160342352944,6.334589457899224,2016,0
LAL,PG,32.0,53.0,0.0,869.0,-0.1,-0.006,-5.0,-0.7,-1.432084162743662,-0.9110991606643246,-0.5209850020793374,0.4925095588510255,2016,0
3TM,PF,30.0,53.0,17.0,835.0,1.6,0.093,-2.0,0.0,-0.2884552346889297,-0.6578647930191475,0.3694095583302177,1.122592200613916,2016,0
OKC,PF,26.0,78.0,78.0,2500.0,5.5,0.105,-0.6,0.8,0.173454370498898,0.231226117468684,-0.057771746969786,4.150847536573573,2016,0
GSW,SF,32.0,65.0,1.0,1732.0,4.4,0.122,1.1,1.4,0.5834885427070514,0.315333140649945,0.2681554020571064,3.3590271590101555,2016,0
UTA,SF,28.0,81.0,2.0,1241.0,2.3,0.089,0.2,0.7,-1.3616954361936775,-1.116876930054233,-0.2448185061394449,0.7626082751693971,2016,0
CLE,PG,23.0,53.0,53.0,1667.0,5.0,0.143,2.3,1.8,2.0939818901284566,2.8157196987052453,-0.7217378085767886,4.9391914759731455,2016,0
BRK,PG,32.0,32.0,32.0,1027.0,0.9,0.043,-0.7,0.3,0.4883057622683907,0.2540503552888909,0.2342554069794998,1.9249643393274944,2016,0
DET,PG,25.0,79.0,79.0,2424.0,6.9,0.136,2.7,2.8,1.2893944163195972,2.1099319956275733,-0.8205375793079762,5.866241195922278,2016,0
CHO,C,31.0,47.0,18.0,1096.0,2.8,0.122,-0.5,0.4,0.8107091043407442,-0.5764439628317417,1.387153067172486,2.296827702584259,2016,0
CLE,SF,35.0,74.0,5.0,1326.0,2.7,0.099,-1.2,0.3,-1.6886246180591422,-1.5431871222957123,-0.1454374957634296,0.5216444611855799,2016,0
2TM,SG,24.0,43.0,3.0,480.0,0.2,0.022,-2.9,-0.1,-2.097335849421635,-0.960410775544828,-1.1369250738768075,0.0570547928971883,2016,0
2TM,PG,26.0,48.0,7.0,868.0,1.5,0.082,-0.4,0.3,0.4173370348163258,0.9195150588622102,-0.5021780240458844,1.5844877072963703,2016,0
BOS,PF,28.0,78.0,0.0,1176.0,2.4,0.097,-2.0,0.0,-0.7287008783857954,-1.3056515859519162,0.5769507075661208,1.2289675905188409,2016,0
BOS,PF,28.0,79.0,76.0,1800.0,5.9,0.158,1.2,1.4,1.858108660957951,-0.0300268608861487,1.8881355218440992,5.048302158041955,2016,0
UTA,SF,25.0,70.0,2.0,857.0,1.1,0.059,-2.0,0.0,-0.7404764403611377,-1.2288991346573848,0.488422694296247,0.8881256734580032,2016,0
TOR,PF,28.0,57.0,32.0,926.0,1.3,0.068,-1.0,0.2,-1.2327171158633994,-1.4801441699524651,0.2474270540890659,0.6498152021061344,2016,0
2TM,SF,34.0,81.0,81.0,2703.0,2.7,0.048,-1.9,0.1,-0.6605405126383986,-0.2257775243078849,-0.4347629883305137,2.949617889522614,2016,0
DET,SF,19.0,73.0,6.0,1687.0,0.6,0.018,-3.3,-0.5,-2.172857294110159,-1.9474697854697427,-0.225387508640416,0.1150902733406776,2016,0
MIA,SG,23.0,36.0,5.0,863.0,2.0,0.113,0.7,0.6,-1.0992472250864078,-1.0426639442106658,-0.056583280875742,0.6835740050386439,2016,0
LAC,SF,28.0,80.0,9.0,1666.0,2.6,0.076,-0.2,0.8,-0.5741377137770858,-1.2585930978830464,0.6844553841059606,1.91549247650289,2016,0
DEN,C,20.0,80.0,55.0,1733.0,6.7,0.185,3.9,2.6,3.4484408865725027,1.491217848316934,1.9572230382555689,6.681906636495616,2016,0
HOU,PF,24.0,50.0,11.0,1044.0,1.5,0.068,-2.1,0.0,-2.587600602353984,-1.324809677734638,-1.2627909246193456,-0.2173604407786266,2016,0
MIN,PG,19.0,37.0,0.0,573.0,0.3,0.027,-2.4,-0.1,-0.6602431400014391,-0.0527004670051352,-0.6075426729963039,0.62486849618017,2016,0
TOR,SG,24.0,80.0,4.0,2046.0,3.5,0.082,-1.2,0.4,-0.5321526747390977,0.5031735336305008,-1.0353262083695984,2.4116245781607915,2016,0
CHO,C,22.0,81.0,3.0,1708.0,3.3,0.093,-0.8,0.5,-0.0280203872301562,-0.2314919413878268,0.2034715541576705,2.5998606093364813,2016,0
OKC,C,23.0,82.0,1.0,1721.0,8.1,0.226,1.2,1.4,0.7000784615014168,2.1191979974788326,-1.4191195359774158,3.474565269291717,2016,0
