Team,Pos,Age,G,GS,MP,WS,WS/48,BPM,VORP,LEBRON,O-LEBRON,D-LEBRON,WAR,Season_End_Year,All_NBA_Target
HOU,SF,22.0,78.0,22.0,1738.0,3.4,0.095,-0.2,0.8,0.51,0.82,-0.31,3.28,2011,0
DAL,SF,30.0,29.0,29.0,867.0,1.2,0.067,-0.9,0.2,0.32,-0.93,1.26,1.53,2011,0
2TM,SG,31.0,47.0,2.0,770.0,-0.1,-0.009,-3.8,-0.4,-1.46,-1.56,0.11,0.43,2011,0
LAL,C,23.0,54.0,47.0,1500.0,6.6,0.21,3.2,2.0,2.11,-0.09,2.2,4.45,2011,0
DET,PG,28.0,61.0,5.0,1125.0,1.5,0.066,-1.9,0.0,-1.75,-0.31,-1.44,0.4,2011,0
POR,C,36.0,59.0,51.0,1540.0,3.7,0.116,1.5,1.4,1.33,-0.97,2.3,3.75,2011,0
DAL,SF,33.0,56.0,4.0,618.0,1.7,0.132,1.2,0.5,-1.35,-1.27,-0.08,0.39,2011,0
2TM,SF,26.0,27.0,1.0,336.0,0.3,0.038,-2.8,-0.1,-2.6,-1.81,-0.79,-0.07,2011,0
CHA,SG,30.0,54.0,1.0,582.0,0.8,0.062,-2.7,-0.1,-1.21,-0.84,-0.37,0.42,2011,0
2TM,PG,35.0,33.0,0.0,463.0,0.2,0.023,-2.4,-0.1,-1.21,-1.12,-0.09,0.33,2011,0
2TM,SG,34.0,73.0,63.0,2051.0,3.8,0.089,0.3,1.2,1.52,1.02,0.5,5.27,2011,0
SAC,SF,22.0,71.0,27.0,1702.0,2.5,0.069,-0.6,0.6,-0.4,0.56,-0.96,2.17,2011,0
MIA,PG,24.0,70.0,28.0,1579.0,2.9,0.089,-0.8,0.5,-0.29,-0.56,0.27,2.13,2011,0
DAL,C,28.0,74.0,74.0,2059.0,9.4,0.218,1.5,1.8,2.01,-0.35,2.36,5.96,2011,0
2TM,SF,23.0,72.0,49.0,2401.0,3.9,0.079,-0.2,1.1,0.25,-0.71,0.96,4.11,2011,0
PHO,SG,27.0,54.0,3.0,894.0,1.4,0.076,-0.5,0.3,-1.13,0.04,-1.17,0.69,2011,0
2TM,SF,23.0,42.0,0.0,464.0,0.3,0.03,-3.8,-0.2,-1.9,-2.12,0.22,0.12,2011,0
IND,PG,23.0,79.0,79.0,2360.0,4.3,0.087,-0.3,1.0,-1.39,-0.21,-1.18,1.43,2011,0
ATL,C,32.0,49.0,28.0,593.0,0.6,0.049,-4.8,-0.4,-1.41,-3.34,1.93,0.35,2011,0
OKC,C,30.0,71.0,2.0,1524.0,3.6,0.113,-1.2,0.3,0.06,-0.96,1.02,2.41,2011,0
MEM,PG,23.0,81.0,81.0,2872.0,6.6,0.111,1.2,2.3,2.88,2.29,0.59,9.97,2011,0
LAC,PF,30.0,40.0,0.0,447.0,0.6,0.064,-1.9,0.0,-0.9,-1.22,0.32,0.42,2011,0
OKC,SG,23.0,43.0,0.0,598.0,1.6,0.126,1.1,0.5,-0.51,0.35,-0.86,0.71,2011,0
ATL,SG,30.0,76.0,0.0,2297.0,3.4,0.071,-1.0,0.6,-0.36,2.01,-2.37,2.98,2011,0
2TM,SG,22.0,42.0,18.0,1027.0,-0.6,-0.026,-3.8,-0.5,-1.42,0.42,-1.84,0.6,2011,0
2TM,PF,23.0,78.0,18.0,1637.0,2.0,0.06,-3.3,-0.5,-1.58,-1.94,0.36,0.78,2011,0
GSW,PG,22.0,74.0,74.0,2489.0,6.6,0.128,2.3,2.7,1.42,2.25,-0.83,6.22,2011,0
SAC,C,29.0,80.0,46.0,1938.0,2.9,0.072,-2.2,-0.1,-1.25,-2.03,0.78,1.35,2011,0
MIA,C,35.0,51.0,22.0,815.0,1.9,0.109,-0.3,0.4,-2.39,-3.55,1.16,-0.05,2011,0
BOS,SF,30.0,49.0,0.0,938.0,2.0,0.103,0.6,0.6,-1.15,-1.69,0.54,0.72,2011,0
2TM,PG,31.0,58.0,44.0,1649.0,2.8,0.081,1.9,1.6,1.84,2.26,-0.41,4.59,2011,0
TOR,PF,21.0,65.0,17.0,1602.0,4.0,0.119,-0.9,0.4,-1.73,-1.24,-0.49,0.6,2011,0
BOS,C,25.0,78.0,13.0,2298.0,4.9,0.102,-1.9,0.0,-1.28,-1.82,0.54,1.55,2011,0
DET,SF,22.0,72.0,16.0,1446.0,2.1,0.07,-1.3,0.3,-1.37,-0.46,-0.91,0.89,2011,0
MIL,SF,28.0,49.0,40.0,1590.0,3.5,0.105,1.5,1.4,-0.41,-0.59,0.18,2.01,2011,0
CHI,SF,25.0,82.0,82.0,3208.0,9.9,0.149,1.7,3.0,2.63,1.27,1.36,10.61,2011,0
CHA,PF,28.0,82.0,82.0,2778.0,4.8,0.082,0.6,1.8,-1.07,-0.9,-0.17,2.27,2011,0
LAC,PF,27.0,36.0,0.0,470.0,1.0,0.104,-4.9,-0.3,-1.76,-0.85,-0.91,0.17,2011,0
MIL,PG,30.0,80.0,22.0,1757.0,2.9,0.08,-1.2,0.4,0.15,0.26,-0.11,2.89,2011,0
TOR,C,27.0,43.0,9.0,522.0,0.8,0.072,-1.6,0.1,0.1,-1.08,1.18,0.84,2011,0
MIL,SF,24.0,44.0,12.0,884.0,1.6,0.088,-1.4,0.1,-0.98,-1.11,0.13,0.77,2011,0
NYK,SG,24.0,81.0,9.0,1971.0,4.2,0.101,0.4,1.2,0.15,1.29,-1.14,3.24,2011,0
PHO,PG,26.0,24.0,0.0,292.0,-0.1,-0.019,-3.6,-0.1,-1.54,-1.13,-0.42,0.15,2011,0
PHO,SF,25.0,82.0,15.0,2140.0,5.6,0.126,1.8,2.0,-0.01,0.86,-0.87,3.28,2011,0
ORL,PG,28.0,51.0,5.0,774.0,0.2,0.014,-3.8,-0.3,-2.49,-2.35,-0.13,-0.1,2011,0
SAS,C,34.0,76.0,76.0,2156.0,7.7,0.171,4.4,3.5,4.25,0.76,3.49,9.38,2011,0
IND,SG,30.0,61.0,44.0,1683.0,4.5,0.129,1.6,1.5,1.0,-0.26,1.26,3.73,2011,0
OKC,SF,22.0,78.0,78.0,3038.0,12.0,0.189,4.9,5.3,4.23,4.73,-0.5,13.18,2011,3
MIN,SG,23.0,62.0,8.0,1181.0,0.3,0.01,-3.5,-0.5,-4.3,-2.09,-2.21,-1.54,2011,0
GSW,SG,25.0,80.0,80.0,3227.0,6.0,0.089,0.8,2.3,-0.98,0.73,-1.72,2.83,2011,0
DEN,C,32.0,30.0,2.0,366.0,0.6,0.083,-3.2,-0.1,-3.13,-2.54,-0.59,-0.2,2011,0
2TM,C,24.0,41.0,8.0,595.0,1.4,0.115,-3.0,-0.1,-2.73,-2.8,0.07,-0.17,2011,0
2TM,SF,32.0,73.0,24.0,1549.0,1.7,0.054,-3.2,-0.5,-3.48,-2.18,-1.3,-1.2,2011,0
TOR,PF,30.0,30.0,18.0,798.0,1.3,0.077,-1.5,0.1,-0.12,-1.15,1.03,1.17,2011,0
SAC,SG,21.0,57.0,53.0,2107.0,1.6,0.036,0.0,1.1,-0.45,0.0,-0.45,2.6,2011,0
CLE,SF,21.0,44.0,18.0,947.0,-0.3,-0.016,-4.0,-0.5,-1.81,-2.27,0.47,0.31,2011,0
NJN,PG,24.0,73.0,18.0,1796.0,1.9,0.05,-0.4,0.7,-0.8,0.68,-1.48,1.79,2011,0
2TM,PF,19.0,78.0,27.0,1535.0,2.9,0.091,-3.2,-0.5,-1.66,-2.27,0.61,0.65,2011,0
NYK,SG,22.0,82.0,81.0,2541.0,5.3,0.1,0.2,1.4,-0.29,0.43,-0.71,3.43,2011,0
LAL,PG,36.0,82.0,82.0,2297.0,3.7,0.078,-2.0,0.0,0.08,-0.9,0.98,3.67,2011,0
MIN,PG,21.0,53.0,8.0,983.0,-1.3,-0.064,-6.3,-1.1,-2.75,-1.5,-1.25,-0.29,2011,0
DEN,SF,25.0,63.0,11.0,791.0,0.9,0.055,-2.9,-0.2,-2.3,-0.72,-1.59,-0.01,2011,0
IND,PG,27.0,41.0,3.0,773.0,0.2,0.011,-2.9,-0.2,-0.59,-1.23,0.64,0.88,2011,0
IND,C,34.0,56.0,3.0,940.0,3.0,0.152,-0.5,0.4,1.65,0.45,1.21,2.5,2011,0
LAC,SG,27.0,63.0,24.0,1551.0,1.7,0.051,-1.8,0.1,-3.0,-0.74,-2.26,-0.72,2011,0
PHO,PF,27.0,77.0,64.0,2541.0,4.7,0.09,-0.3,1.1,1.26,1.22,0.04,6.08,2011,0
3TM,PG,24.0,24.0,0.0,301.0,-0.1,-0.015,-2.9,-0.1,0.49,0.35,0.14,0.56,2011,0
BOS,PF,34.0,71.0,71.0,2220.0,9.0,0.194,4.7,3.8,5.31,1.09,4.22,11.11,2011,0
MEM,C,26.0,81.0,81.0,2586.0,7.9,0.146,2.3,2.8,1.31,-0.95,2.26,6.27,2011,0
LAL,C,30.0,82.0,82.0,3037.0,14.7,0.232,4.8,5.2,3.71,2.19,1.52,12.18,2011,2
MEM,SF,24.0,54.0,54.0,2152.0,5.5,0.123,2.8,2.6,1.15,0.13,1.01,4.98,2011,0
3TM,SG,23.0,56.0,34.0,1118.0,1.0,0.045,-2.5,-0.1,-2.13,-1.65,-0.47,0.12,2011,0
IND,SG,20.0,61.0,19.0,1265.0,2.4,0.091,-0.1,0.6,0.43,0.14,0.29,2.32,2011,0
CLE,SG,24.0,67.0,15.0,1865.0,2.4,0.062,-0.4,0.8,-0.23,0.37,-0.6,2.58,2011,0
CHI,PF,25.0,80.0,19.0,1742.0,5.2,0.143,-0.9,0.5,0.72,-1.19,1.91,3.54,2011,0
LAC,SF,28.0,76.0,62.0,2095.0,2.5,0.057,-2.1,-0.1,-1.31,-0.85,-0.46,1.38,2011,0
MIL,PF,29.0,35.0,18.0,860.0,1.8,0.101,-1.0,0.2,-0.63,-0.84,0.21,0.96,2011,0
